id,value
UK Food Trends.Non-carcase meat and meat products.Meat pies and sausage rolls ready to eat.Sausage rolls ready to eat.-,
UK Food Trends.Non-carcase meat and meat products.Meat pies pasties and puddings frozen or not frozen.-.-,
UK Food Trends.Non-carcase meat and meat products.Burgers frozen or not frozen.-.-,
UK Food Trends.Non-carcase meat and meat products.Ready meals and convenience meat products.-.-,
UK Food Trends.Non-carcase meat and meat products.Ready meals and convenience meat products.Complete meat-based ready meals frozen or not frozen.-,
UK Food Trends.Non-carcase meat and meat products.Ready meals and convenience meat products.Other convenience meat products frozen or not frozen.-,
UK Food Trends.Non-carcase meat and meat products.Pate and delicatessen type sausage.-.-,
UK Food Trends.Non-carcase meat and meat products.Pate and delicatessen type sausage.Pate.-,
UK Food Trends.Non-carcase meat and meat products.Pate and delicatessen type sausage.Delicatessen type sausages.-,
UK Food Trends.Non-carcase meat and meat products.Meat pastes and spreads.-.-,
UK Food Trends.Non-carcase meat and meat products.Takeaway meats.-.-,
UK Food Trends.Non-carcase meat and meat products.Takeaway meats.Takeaway meat pies and pasties.-,
UK Food Trends.Non-carcase meat and meat products.Takeaway meats.Takeaway burger and bun.-,
UK Food Trends.Non-carcase meat and meat products.Takeaway meats.Takeaway kebabs.-,
UK Food Trends.Non-carcase meat and meat products.Takeaway meats.Takeaway sausages and saveloys.-,
UK Food Trends.Non-carcase meat and meat products.Takeaway meats.Takeaway meat based meals.-,
UK Food Trends.Non-carcase meat and meat products.Takeaway meats.Takeaway miscellaneous meats.-,
UK Food Trends.Fish.-.-.-,
UK Food Trends.Fish.White fish fresh chilled or frozen.-.-,
UK Food Trends.Fish.White fish fresh chilled or frozen.White fish fresh or chilled.-,
UK Food Trends.Fish.White fish fresh chilled or frozen.White fish frozen.-,
UK Food Trends.Fish.Herrings and other blue fish fresh chilled or frozen.-.-,
UK Food Trends.Fish.Herrings and other blue fish fresh chilled or frozen.Herrings and other blue fish fresh or chilled.-,
UK Food Trends.Fish.Herrings and other blue fish fresh chilled or frozen.Herrings and other blue fish frozen.-,
UK Food Trends.Fish.Salmon fresh chilled or frozen.-.-,
UK Food Trends.Fish.Salmon fresh chilled or frozen.Salmon fresh or chilled.-,
UK Food Trends.Fish.Salmon fresh chilled or frozen.Salmon frozen.-,
UK Food Trends.Fish.Blue fish dried or salted or smoked.-.-,
UK Food Trends.Fish.White fish dried salted or smoked.-.-,
UK Food Trends.Fish.Shellfish.-.-,
UK Food Trends.Fish.Shellfish.Shellfish fresh or chilled.-,
UK Food Trends.Fish.Shellfish.Shellfish frozen.-,
UK Food Trends.Fish.Takeaway fish.-.-,
UK Food Trends.Fish.Salmon tinned.-.-,
UK Food Trends.Fish.Other tinned or bottled fish.-.-,
UK Food Trends.Fish.Ready meals and other fish products - frozen or not frozen.-.-,
UK Food Trends.Fish.Takeaway fish meals and fish products.-.-,
UK Food Trends.Fish.Takeaway fish meals and fish products.Takeaway fish products.-,
UK Food Trends.Fish.Takeaway fish meals and fish products.Takeaway fish based meals.-,
UK Food Trends.Eggs.-.-.-,
UK Food Trends.Fats.-.-.-,
UK Food Trends.Fats.Butter.-.-,
UK Food Trends.Fats.Margarine.-.-,
UK Food Trends.Fats.Margarine.Soft margarine.-,
UK Food Trends.Fats.Margarine.Other margarine.-,
UK Food Trends.Fats.Lard cooking fat.-.-,
UK Food Trends.Fats.Vegetable and salad oils.-.-,
UK Food Trends.Fats.Vegetable and salad oils.Olive oil.-,
UK Food Trends.Fats.Vegetable and salad oils.Other vegetable and salad oils.-,
UK Food Trends.Fats.All other fats.-.-,
UK Food Trends.Fats.All other fats.Reduced fat spreads.-,
UK Food Trends.Fats.All other fats.Low fat spreads.-,
UK Food Trends.Fats.All other fats.Suet and dripping.-,
UK Food Trends.Fats.All other fats.Imitatation cream.-,
UK Food Trends.Sugar and preserves.-.-.-,
UK Food Trends.Sugar and preserves.Sugar.-.-,
UK Food Trends.Sugar and preserves.Jams and fruit curds.-.-,
UK Food Trends.Sugar and preserves.Marmalade.-.-,
UK Food Trends.Sugar and preserves.Syrup treacle.-.-,
UK Food Trends.Sugar and preserves.Honey.-.-,
UK Food Trends.Fresh and processed fruit and vegetables including potatoes.-.-.-,
UK Food Trends.Fresh and processed vegetables including potatoes.-.-.-,
UK Food Trends.Fresh and processed potatoes.-.-.-,
UK Food Trends.Fresh and processed potatoes.Fresh potatoes.-.-,
UK Food Trends.Fresh and processed potatoes.Fresh potatoes.Fresh new potatoes (f).-,
UK Food Trends.Fresh and processed potatoes.Fresh potatoes.Fresh baking potatoes (f).-,
UK Food Trends.Fresh and processed potatoes.Fresh potatoes.Other fresh potatoes (f).-,
UK Food Trends.Fresh and processed potatoes.Processed potatoes.-.-,
UK Food Trends.Fresh and processed potatoes.Processed potatoes.Chips and takeaway chips.-,
UK Food Trends.Fresh and processed potatoes.Processed potatoes.Chips and takeaway chips.Chips - frozen or not frozen,
UK Food Trends.Fresh and processed potatoes.Processed potatoes.Chips and takeaway chips.Takeaway chips,
UK Food Trends.Fresh and processed potatoes.Processed potatoes.Instant potato.-,
UK Food Trends.Fresh and processed potatoes.Processed potatoes.Canned potatoes.-,
UK Food Trends.Fresh and processed potatoes.Processed potatoes.Crisps and potato snacks.-,
UK Food Trends.Fresh and processed potatoes.Processed potatoes.Other potato products frozen or not frozen.-,
UK Food Trends.Fresh and processed fruit and vegetables excluding potatoes.-.-.-,
UK Food Trends.Fresh and processed vegetables excluding potatoes.-.-.-,
UK Food Trends.Fresh and processed vegetables excluding potatoes.Fresh green vegetables.-.-,
UK Food Trends.Fresh and processed vegetables excluding potatoes.Fresh green vegetables.Fresh cabbages.-,
UK Food Trends.Fresh and processed vegetables excluding potatoes.Fresh green vegetables.Fresh brussels sprouts.-,
UK Food Trends.Fresh and processed vegetables excluding potatoes.Fresh green vegetables.Fresh cauliflower.-,
UK Food Trends.Fresh and processed vegetables excluding potatoes.Fresh green vegetables.Leafy salads fresh.-,
UK Food Trends.Fresh and processed vegetables excluding potatoes.Fresh green vegetables.Leafy salads fresh.Lettuce and leafy salads,
UK Food Trends.Fresh and processed vegetables excluding potatoes.Fresh green vegetables.Leafy salads fresh.Prepared lettuce salads,
UK Food Trends.Fresh and processed vegetables excluding potatoes.Fresh green vegetables.Fresh peas.-,
UK Food Trends.Fresh and processed vegetables excluding potatoes.Fresh green vegetables.Fresh beans.-,
UK Food Trends.Fresh and processed vegetables excluding potatoes.Fresh green vegetables.Other fresh green vegetables.-,
UK Food Trends.Fresh and processed vegetables excluding potatoes.Other fresh vegetables.-.-,
UK Food Trends.Fresh and processed vegetables excluding potatoes.Other fresh vegetables.Fresh carrots.-,
UK Food Trends.Fresh and processed vegetables excluding potatoes.Other fresh vegetables.Fresh turnips and swede.-,
UK Food Trends.Fresh and processed vegetables excluding potatoes.Other fresh vegetables.Other fresh root vegetables.-,
UK Food Trends.Fresh and processed vegetables excluding potatoes.Other fresh vegetables.Fresh onions leeks and shallots.-,
UK Food Trends.Fresh and processed vegetables excluding potatoes.Other fresh vegetables.Fresh cucumbers.-,
UK Food Trends.Fresh and processed vegetables excluding potatoes.Other fresh vegetables.Fresh mushrooms.-,
UK Food Trends.Fresh and processed vegetables excluding potatoes.Other fresh vegetables.Fresh tomatoes.-,
UK Food Trends.Fresh and processed vegetables excluding potatoes.Other fresh vegetables.Miscellaneous fresh vegtables.-,
UK Food Trends.Fresh and processed vegetables excluding potatoes.Other fresh vegetables.Miscellaneous fresh vegtables.Fresh vegetable stewpack stirfry pack etc.,
UK Food Trends.Fresh and processed vegetables excluding potatoes.Other fresh vegetables.Miscellaneous fresh vegtables.Fresh stem vegetables,
UK Food Trends.Fresh and processed vegetables excluding potatoes.Other fresh vegetables.Miscellaneous fresh vegtables.Fresh marrow courgettes aubergine pumpkin and other vegetables,
UK Food Trends.Fresh and processed vegetables excluding potatoes.Other fresh vegetables.Miscellaneous fresh vegtables.Fresh herbs,
UK Food Trends.Fresh and processed vegetables excluding potatoes.Processed vegetables excluding processed potatoes.-.-,
UK Food Trends.Fresh and processed vegetables excluding potatoes.Processed vegetables excluding processed potatoes.Tomatoes canned or bottled.-,
UK Food Trends.Fresh and processed vegetables excluding potatoes.Processed vegetables excluding processed potatoes.Peas canned.-,
UK Food Trends.Fresh and processed vegetables excluding potatoes.Processed vegetables excluding processed potatoes.Beans canned.-,
UK Food Trends.Fresh and processed vegetables excluding potatoes.Processed vegetables excluding processed potatoes.Beans canned.Baked beans in sauce,
UK Food Trends.Fresh and processed vegetables excluding potatoes.Processed vegetables excluding processed potatoes.Beans canned.Other canned beans and pulses,
UK Food Trends.Fresh and processed vegetables excluding potatoes.Processed vegetables excluding processed potatoes.Other canned vegetables.-,
UK Food Trends.Fresh and processed vegetables excluding potatoes.Processed vegetables excluding processed potatoes.Dried pulses other than air-dried.-,
UK Food Trends.Fresh and processed vegetables excluding potatoes.Processed vegetables excluding processed potatoes.Air-dried vegetables.-,
UK Food Trends.Fresh and processed vegetables excluding potatoes.Processed vegetables excluding processed potatoes.Vegetable juices and purees.-,
UK Food Trends.Fresh and processed vegetables excluding potatoes.Processed vegetables excluding processed potatoes.Vegetable juices and purees.Tomato puree and vegetable purees,
UK Food Trends.Fresh and processed vegetables excluding potatoes.Processed vegetables excluding processed potatoes.Vegetable juices and purees.Vegetable juices eg tomato juice carrot juice,
UK Food Trends.Fresh and processed vegetables excluding potatoes.Processed vegetables excluding processed potatoes.Peas frozen.-,
UK Food Trends.Fresh and processed vegetables excluding potatoes.Processed vegetables excluding processed potatoes.Beans frozen.-,
UK Food Trends.Fresh and processed vegetables excluding potatoes.Processed vegetables excluding processed potatoes.Ready meals and other vegetable products (inc takeaways).-,
UK Food Trends.Fresh and processed vegetables excluding potatoes.Processed vegetables excluding processed potatoes.Ready meals and other vegetable products (inc takeaways).Ready meals and other vegetable products frozen or not frozen,
UK Food Trends.Fresh and processed vegetables excluding potatoes.Processed vegetables excluding processed potatoes.Ready meals and other vegetable products (inc takeaways).All vegetable takeaway products,
UK Food Trends.Fresh and processed vegetables excluding potatoes.Processed vegetables excluding processed potatoes.Other frozen vegetables.-,
UK Food Trends.Fresh and processed fruit.-.-.-,
UK Food Trends.Fresh and processed fruit.Fresh fruit.-.-,
